,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,9,9,56,63,66,64,70,73,68,68,88,127,179,195,240,323,549,669
2,127,106,64,74,112,215,234,214,192,181,195,190,190,318,429,346,120,0
3,533,554,549,532,491,390,365,382,409,420,386,352,300,156,0,0,0,0
1,0,0,227,305,459,613,765,849,785,787,944,1256,1625,2072,2831,4952,6002,6002
2,565,399,244,386,603,1491,1732,2186,2247,1867,2674,4454,4077,3405,3171,1050,0,0
3,5437,5603,5531,5311,4940,3898,3505,2967,2970,3348,2384,292,300,525,0,0,0,0
1,0,0,26,41,43,49,56,55,46,46,57,70,103,131,213,399,653,713
2,116,70,64,69,91,112,126,147,154,176,232,321,482,450,428,314,60,0
3,597,643,623,603,579,552,531,511,513,491,424,322,128,132,72,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,190,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
2,266,266,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,44,57,86,98,104,102,68,68,68,82,117,158,240,385,792,792
2,128,108,82,111,157,192,227,229,231,125,219,314,532,634,552,407,0,0
3,664,684,666,624,549,502,461,461,493,599,505,396,143,0,0,0,0,0
1,0,0,111,139,171,201,239,295,337,337,359,399,445,519,757,1099,1099,1099
2,508,285,154,168,218,310,518,462,402,294,665,700,654,580,342,0,0,0
3,591,814,834,792,710,588,342,342,360,468,75,0,0,0,0,0,0,0
1,0,0,40,55,72,74,72,74,62,62,73,85,97,113,153,265,265,265
2,125,101,57,50,49,91,113,111,119,75,92,124,168,152,112,0,0,0
3,140,164,168,160,144,100,80,80,84,128,100,56,0,0,0,0,0,0
1,0,0,552,486,414,422,434,445,368,368,526,692,939,2191,3502,5020,5020,5020
2,1186,1028,495,414,577,1658,3019,2992,3055,2828,4494,4328,4081,2829,1518,0,0,0
3,3834,3992,3973,4120,4029,2940,1567,1583,1597,1824,0,0,0,0,0,0,0,0
1,0,0,164,562,1581,2283,2283,1667,589,435,435,435,743,1051,2129,2283,2283,2283
2,2218,1189,1261,1721,702,0,0,616,1694,1848,1386,1848,1540,1232,154,0,0,0
3,65,1094,858,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0
1,0,0,30,92,162,382,412,412,412,412,312,312,272,272,332,412,412,412
2,362,132,162,220,250,30,0,0,0,0,100,100,140,140,80,0,0,0
3,50,280,220,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,72,94,98,98,99,108,104,104,135,170,240,320,488,1128,1857,1857
2,165,130,63,47,103,262,279,286,290,321,474,1260,1320,1537,1369,729,0,0
3,1692,1727,1722,1716,1656,1497,1479,1463,1463,1432,1248,427,297,0,0,0,0,0
1,0,0,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
2,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,88,93,97,122,125,155,161,161,204,267,361,448,619,963,2047,2263
2,160,127,66,91,128,384,408,367,361,380,482,911,1777,1815,1644,1300,216,0
3,2103,2136,2109,2079,2038,1757,1730,1741,1741,1722,1577,1085,125,0,0,0,0,0
1,0,0,62,111,116,162,164,168,208,208,213,313,463,564,1215,2437,3424,3424
2,231,174,115,121,168,307,494,541,500,636,1331,1933,2646,2860,2209,987,0,0
3,3193,3250,3247,3192,3140,2955,2766,2715,2716,2580,1880,1178,315,0,0,0,0,0
1,0,0,54,55,56,57,57,82,82,82,108,134,161,237,352,675,1109,1493
2,157,88,61,80,108,138,212,210,210,231,310,483,726,1040,1141,818,384,0
3,1336,1405,1378,1358,1329,1298,1224,1201,1201,1180,1075,876,606,216,0,0,0,0
1,0,0,98,99,101,102,148,164,175,176,232,327,508,728,1139,1657,2872,3774
2,269,205,142,183,473,628,690,807,797,836,1077,1455,1649,2677,2635,2117,902,0
3,3505,3569,3534,3492,3200,3044,2936,2803,2802,2762,2465,1992,1617,369,0,0,0,0
1,0,0,124,128,163,169,170,202,197,197,246,300,409,500,681,1345,2349,2533
2,350,223,132,183,249,333,538,612,618,430,534,937,1458,1857,1852,1188,184,0
3,2183,2310,2277,2222,2121,2031,1825,1719,1718,1906,1753,1296,666,176,0,0,0,0
1,0,0,331,464,528,597,730,937,922,922,1203,1277,1425,1499,1795,2757,3719,3719
2,761,652,385,464,714,1005,1303,1373,1343,1021,1036,1628,2294,2220,1924,962,0,0
3,2958,3067,3003,2791,2477,2117,1686,1409,1454,1776,1480,814,0,0,0,0,0,0
1,0,0,216,292,406,482,482,482,482,482,482,482,482,482,482,482,482,482
2,482,406,266,190,76,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,68,84,123,149,171,180,159,151,195,224,274,340,488,770,1458,1796
2,219,155,111,156,218,473,509,482,404,310,379,477,533,1156,1308,1026,338,0
3,1577,1641,1617,1556,1455,1174,1116,1134,1233,1335,1222,1095,989,300,0,0,0,0
1,2,2,321,338,429,491,555,620,672,669,881,1036,1335,1558,2572,3168,3969,3969
2,653,566,261,400,542,849,1211,1430,1374,1552,2196,2487,2560,2411,1397,801,0,0
3,3314,3401,3387,3231,2998,2629,2203,1919,1923,1748,892,446,74,0,0,0,0,0
1,0,0,87,128,140,145,144,164,135,135,167,217,277,375,521,781,1784,2050
2,253,191,127,136,237,349,418,433,450,376,419,747,1104,1507,1529,1269,266,0
3,1797,1859,1836,1786,1673,1556,1488,1453,1465,1539,1464,1086,669,168,0,0,0,0
1,4,4,61,117,167,219,281,329,325,322,366,441,513,567,693,1035,1179,1179
2,219,160,137,151,210,251,286,292,296,299,381,666,666,612,486,144,0,0
3,956,1015,981,911,802,709,612,558,558,558,432,72,0,0,0,0,0,0
1,0,0,107,141,168,171,194,225,250,250,288,352,447,547,751,1131,1751,1751
2,289,205,99,172,195,273,422,509,484,581,700,1174,1224,1204,1000,620,0,0
3,1462,1546,1545,1438,1388,1307,1135,1017,1017,920,763,225,80,0,0,0,0,0
1,0,0,116,173,182,186,194,253,244,244,316,433,647,769,1249,2624,4035,4989
2,335,253,202,271,484,601,757,800,799,846,1696,2309,2723,4220,3740,2365,954,0
3,4654,4736,4671,4545,4323,4202,4038,3936,3946,3899,2977,2247,1619,0,0,0,0,0
1,0,0,254,327,360,400,476,547,536,536,722,930,1295,1900,2429,3453,5031,5031
2,720,579,329,430,817,919,1273,1508,1513,1700,2061,4101,3736,3131,2602,1578,0,0
3,4311,4452,4448,4274,3854,3712,3282,2976,2982,2795,2248,0,0,0,0,0,0,0
1,0,0,55,94,131,166,171,210,176,176,257,379,510,675,966,1638,2394,2394
2,231,143,162,210,267,399,606,653,687,710,993,1327,1704,1719,1428,756,0,0
3,2163,2251,2177,2090,1996,1829,1617,1531,1531,1508,1144,688,180,0,0,0,0,0
1,0,0,107,119,130,174,183,194,193,193,270,393,557,792,1472,2404,2404,2404
2,316,242,135,189,292,568,782,922,923,1071,1382,2011,1847,1612,932,0,0,0
3,2088,2162,2162,2096,1982,1662,1439,1288,1288,1140,752,0,0,0,0,0,0,0
1,0,0,99,103,141,144,148,150,152,152,199,289,392,524,1096,2189,3210,3400
2,231,186,92,97,127,346,518,640,635,679,1097,1763,2248,2876,2304,1211,190,0
3,3169,3214,3209,3200,3132,2910,2734,2610,2613,2569,2104,1348,760,0,0,0,0,0
1,0,0,149,182,223,225,243,315,288,288,315,315,315,315,315,315,315,315
2,281,285,166,133,92,90,72,0,27,27,0,0,0,0,0,0,0,0
3,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,92,107,163,169,188,265,254,254,293,385,601,806,1421,2639,3602,3602
2,333,241,170,236,478,644,783,849,860,958,1725,2348,2914,2796,2181,963,0,0
3,3269,3361,3340,3259,2961,2789,2631,2488,2488,2390,1584,869,87,0,0,0,0,0
1,0,0,202,255,278,322,383,439,455,455,550,659,828,987,1962,2772,2772,2772
2,417,313,163,175,330,546,891,962,919,925,1937,2113,1944,1785,810,0,0,0
3,2355,2459,2407,2342,2164,1904,1498,1371,1398,1392,285,0,0,0,0,0,0,0
1,0,0,43,69,98,119,159,200,209,210,277,379,513,574,675,799,1289,1688
2,169,122,80,96,261,314,330,354,345,409,475,504,482,673,1013,889,399,0
3,1519,1566,1565,1523,1329,1255,1199,1134,1134,1069,936,805,693,441,0,0,0,0
1,0,0,309,392,402,473,477,559,553,553,781,1009,1474,2407,3025,4481,5077,5077
2,652,484,253,472,614,980,1636,2010,2016,2092,2548,3791,3603,2670,2052,596,0,0
3,4425,4593,4515,4213,4061,3624,2964,2508,2508,2432,1748,277,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,191,249,254,257,291,293,240,240,288,385,433,529,726,1087,2959,3487
2,495,341,220,305,387,389,316,314,367,414,511,750,1854,2958,2761,2400,528,0
3,2992,3146,3076,2933,2846,2841,2880,2880,2880,2833,2688,2352,1200,0,0,0,0,0
1,0,0,59,71,74,76,79,91,102,102,138,185,266,414,534,726,810,810
2,201,142,105,140,268,387,380,350,324,336,396,529,544,396,276,84,0,0
3,609,668,646,599,468,347,351,369,384,372,276,96,0,0,0,0,0,0
1,0,0,42,51,81,91,98,115,118,121,150,189,279,414,611,847,1119,1578
2,162,98,71,134,155,256,444,451,412,409,605,709,704,1164,967,731,459,0
3,1416,1480,1465,1393,1342,1231,1036,1012,1048,1048,823,680,595,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,39,143,338,338,338,312,156,156,156,247,338,338,338,338,338,338
2,338,182,273,195,0,0,0,26,182,182,182,91,0,0,0,0,0,0
3,0,156,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,40,74,165,286,260,237,164,163,175,217,203,197,267,431,789,789
2,328,198,162,275,359,413,484,482,372,248,298,339,376,592,522,358,0,0
3,461,591,587,440,265,90,45,70,253,378,316,233,210,0,0,0,0,0
1,0,0,24,89,196,536,816,823,643,551,501,500,535,570,708,995,995,995
2,400,154,172,260,578,459,179,172,352,430,388,345,430,425,287,0,0,0
3,595,841,799,646,221,0,0,0,0,14,106,150,30,0,0,0,0,0
1,0,0,83,112,119,130,146,167,164,159,208,256,355,499,855,1111,1111,1111
2,264,181,139,171,300,470,514,496,499,552,711,855,756,612,256,0,0,0
3,847,930,889,828,692,511,451,448,448,400,192,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,108,140,150,179,192,217,208,208,270,341,519,613,1135,1337,1337,1337
2,235,179,104,114,222,337,416,492,501,766,936,996,818,724,202,0,0,0
3,1102,1158,1125,1083,965,821,729,628,628,363,131,0,0,0,0,0,0,0
1,0,0,31,45,53,57,64,77,80,80,101,126,186,278,430,825,1454,1573
2,137,84,58,87,143,197,276,291,284,300,399,750,894,1295,1143,748,119,0
3,1436,1489,1484,1441,1377,1319,1233,1205,1209,1193,1073,697,493,0,0,0,0,0
1,0,0,34,90,250,287,301,298,254,206,192,192,201,225,325,516,770,770
2,273,119,184,384,520,483,469,472,477,295,182,194,245,402,445,254,0,0
3,497,651,552,296,0,0,0,0,39,269,396,384,324,143,0,0,0,0
1,0,0,52,76,94,117,193,266,285,277,320,395,439,444,483,678,678,678
2,268,195,164,188,315,351,485,412,393,401,358,283,239,234,195,0,0,0
3,410,483,462,414,269,210,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,124,140,142,137,174,181,175,175,212,257,386,575,936,1490,2614,3520
2,482,265,141,135,198,434,506,559,544,564,919,1325,1697,2535,2584,2030,906,0
3,3038,3255,3255,3245,3180,2949,2840,2780,2801,2781,2389,1938,1437,410,0,0,0,0
1,0,0,89,100,131,132,131,131,131,131,181,233,358,517,908,1394,2447,2447
2,246,172,106,103,200,272,322,345,345,429,700,1080,1441,1930,1539,1053,0,0
3,2201,2275,2252,2244,2116,2043,1994,1971,1971,1887,1566,1134,648,0,0,0,0,0
1,0,0,84,98,98,98,105,119,112,112,140,175,238,245,245,245,245,245
2,238,182,98,112,147,147,140,126,133,133,105,70,7,0,0,0,0,0
3,7,63,63,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,44,48,60,73,94,107,109,109,151,228,349,471,736,1171,1381,1381
2,164,100,62,89,178,221,243,269,274,471,850,1153,1032,910,645,210,0,0
3,1217,1281,1275,1244,1143,1087,1044,1005,998,801,380,0,0,0,0,0,0,0
1,2,0,112,114,147,206,257,334,368,373,451,515,633,707,915,934,1124,1124
2,561,346,124,131,161,289,822,790,756,751,673,609,491,417,209,190,0,0
3,561,778,888,879,816,629,45,0,0,0,0,0,0,0,0,0,0,0
1,8,4,74,96,146,192,240,272,296,296,376,440,440,440,440,440,440,440
2,312,152,110,172,198,248,200,168,144,144,64,0,0,0,0,0,0,0
3,120,284,256,172,96,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,157,176,175,235,242,249,245,245,316,399,544,848,1242,2209,4527,4954
2,341,249,98,158,412,632,833,887,887,926,1146,2054,3129,4106,3712,2745,427,0
3,4613,4705,4699,4620,4367,4087,3879,3818,3822,3783,3492,2501,1281,0,0,0,0,0
1,0,0,273,275,281,284,288,293,293,293,301,435,756,1138,1606,2639,4896,5262
2,559,487,214,281,537,924,1055,1119,1109,1172,1543,2623,3408,4124,3656,2623,366,0
3,4703,4775,4775,4706,4444,4054,3919,3850,3860,3797,3418,2204,1098,0,0,0,0,0
1,0,0,50,57,80,94,122,151,163,163,229,294,420,452,568,588,588,588
2,230,112,64,106,128,249,321,341,329,373,359,294,168,136,20,0,0,0
3,358,476,474,425,380,245,145,96,96,52,0,0,0,0,0,0,0,0
1,0,0,82,83,98,109,116,136,153,153,177,166,185,206,293,493,742,2099
2,307,203,145,172,161,168,179,176,159,165,238,392,465,1220,1806,1606,1357,0
3,1792,1896,1872,1844,1840,1822,1804,1787,1787,1781,1684,1541,1449,673,0,0,0,0
1,0,0,71,94,118,142,182,207,215,215,258,336,398,426,536,729,1017,1017
2,247,175,147,217,235,252,269,319,323,401,485,597,535,591,481,288,0,0
3,770,842,799,706,664,623,566,491,479,401,274,84,84,0,0,0,0,0
1,0,0,16,68,90,136,150,195,255,265,253,257,275,270,270,270,435,435
2,337,206,199,176,180,164,210,240,180,170,182,178,160,165,165,165,0,0
3,98,229,220,191,165,135,75,0,0,0,0,0,0,0,0,0,0,0
1,0,0,150,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
2,240,240,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,120,159,154,151,154,172,181,181,229,262,283,313,313,313,313,313
2,247,226,109,82,126,150,159,141,132,132,84,51,30,0,0,0,0,0
3,66,87,84,72,33,12,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,93,150,195,237,270,324,342,342,342,342,342,342,342,342,342,342
2,324,282,222,183,147,105,72,18,0,0,0,0,0,0,0,0,0,0
3,18,60,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,107,155,182,175,171,171,150,150,183,225,321,424,745,1687,2665,2665
2,353,235,183,274,312,338,377,409,427,526,758,1700,2146,2241,1920,978,0,0
3,2312,2430,2375,2236,2171,2152,2117,2085,2088,1989,1724,740,198,0,0,0,0,0
1,0,0,133,145,204,258,268,333,276,276,389,516,746,993,1889,2763,3293,3293
2,337,264,187,244,361,726,1012,1120,1177,1048,1803,2150,2388,2300,1404,530,0,0
3,2956,3029,2973,2904,2728,2309,2013,1840,1840,1969,1101,627,159,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,75,117,125,135,153,196,212,213,257,329,438,576,958,1603,2296,2296
2,179,132,102,133,248,578,635,559,538,558,832,1346,1648,1720,1338,693,0,0
3,2117,2164,2119,2046,1923,1583,1508,1541,1546,1525,1207,621,210,0,0,0,0,0
1,14,10,59,74,84,87,85,93,81,79,94,115,157,197,349,669,968,968
